DSB tog

Lyntog  L
Ølgod st  ØG
Øllegårdsvej st   ØGV
Ølsted st   ØLS
Ølstykke st   ØL
Ørby st   ØBG
Ørestad st  ØRE
Østbanetorvet st  ØS
Øster Toreby st   TOR
Østerbjerg st   ØSF
Østerport st  KK
Aalborg st  AB
Aalborg Vestby st   ABV
Ålbæk st  ÅLB
Ålholm st   ÅLM
Ålsgårde st   AAL
Åmarken st  ÅM
Aarhus H  AR
Årslev st   ÅS
Aarup st  AP
